planningStatus,planning_status,requestReviewCategory,isArchive,developmentStatus,status,totalLoggedHours,worklogsTotal,planning_id,projecType,id,resourceApproved,name,timestamp,engineeringManagerEmail
Approved,active,Plan_Review,False,Active,Final Budget Approval,31.25,20,738,REGULAR,531,False,CT Freight Webapp - eAdaptor Next,2026-05-25 11:32:46,gorakh@ebpearls.com.au
Approved,active,Plan_Review,False,Active,Budget Approval and Project Plan,18.0,6,743,REGULAR,529,False,EBP-RFC 3446 Kapstream RFC1,2026-05-25 11:32:51,sunil@ebpearls.com.au
,,,False,Active,Kick Off Workshop,0,0,,REGULAR,519,,EBP-PROTO 1467 OptiCoach Prototype,2026-05-25 11:32:55,rupesh@ebpearls.com.au
,,,False,Active,Wireframe,0,0,,REGULAR,518,,Opti coach,2026-05-25 11:32:58,prashant@ebpearls.com.au
,,,False,Active,Wireframe - Approved and Design Started,0,0,,REGULAR,517,,EBP-ENT 4081 King River Outdoors Prototype,2026-05-25 11:33:02,karun@ebpearls.com.au
Approved,active,Plan_Review,False,Active,Project approved,3.0,3,635,REGULAR,503,False, Jackson Ranch RFC17,2026-05-25 11:33:07,sunil@ebpearls.com.au
Approved,active,Plan_Review,False,Active,Final Budget Approval,3,1,621,REGULAR,498,False, St.Jude's RFC1 v2,2026-05-25 11:33:10,sunil@ebpearls.com.au
Approved,active,Plan_Review,False,Active,Development,205.94,84,793,REGULAR,497,False, WUNA RFC10,2026-05-25 11:33:13,sunil@ebpearls.com.au
Approved,active,Plan_Consider,False,Active,Development,3.0,5,608,REGULAR,489,False,Castle and Things,2026-05-25 11:33:15,sunil@ebpearls.com.au
,,,False,Active,Wireframe,0,0,,REGULAR,484,,EBP-ENT 3694 DIY Tradie (Prototype),2026-05-25 11:33:18,karun@ebpearls.com.au
Approved,active,,False,Active,Project approved,26.590000000000003,17,548,REGULAR,466,False,EBP-ENT 4090 Isaac DevOps Audit,2026-05-25 11:33:21,pradeep@ebpearls.com.au
Approved,active,Plan_Review,False,Active,Development,0,0,546,REGULAR,464,False,CMS-RFC 3482 Bannister RFC10,2026-05-25 11:33:23,sunil@ebpearls.com.au
Draft,inactive,,False,Active,Completed,0,0,308,REGULAR,456,False,Double Guard App old,2026-05-25 11:33:24,karun@ebpearls.com.au
,,,False,Active,Project approved,16.17,7,,REGULAR,446,,EBP-CMS 2474 365mesh,2026-05-25 11:33:26,sunil@ebpearls.com.au
Approved,active,,False,Active,Project approved,167.59999999999997,102,543,REGULAR,444,False,EBP-ENT 2756 Production Software,2026-05-25 11:33:27,nabin@ebpearls.com.au
